Sorting Name, N, Comparisons, Seconds
Bubble sort, 2000, 3998000, 0.002220
Bubble sort, 4000, 15996000, 0.008387
Bubble sort, 6000, 35994000, 0.020024
Bubble sort, 8000, 63992000, 0.035378
Bubble sort, 10000, 99990000, 0.054510
Bubble sort, 12000, 143988000, 0.090105
Bubble sort, 14000, 195986000, 0.145286
Bubble sort, 16000, 255984000, 0.199157
Bubble sort, 18000, 323982000, 0.285858
Bubble sort, 20000, 399980000, 0.364357
Bubble sort, 22000, 483978000, 0.471109
Bubble sort, 24000, 575976000, 0.567424
Bubble sort, 26000, 675974000, 0.693614
Bubble sort, 28000, 783972000, 0.825555
Bubble sort, 30000, 899970000, 0.927799
Bubble sort, 32000, 1023968000, 1.069107
Bubble sort, 34000, 1155966000, 1.224625
Bubble sort, 36000, 1295964000, 1.360246
Bubble sort, 38000, 1443962000, 1.579430
Bubble sort, 40000, 1599960000, 1.746248
Bubble sort, 42000, 1763958000, 1.936775
Bubble sort, 44000, 1935956000, 2.157271
Bubble sort, 46000, 2115954000, 2.352067
Bubble sort, 48000, 2303952000, 2.593260
Bubble sort, 50000, 2499950000, 2.805613
Insertion sort, 2000, 1002176, 0.000264
Insertion sort, 4000, 4024207, 0.001109
Insertion sort, 6000, 9046456, 0.002377
Insertion sort, 8000, 15848353, 0.004108
Insertion sort, 10000, 24937424, 0.006624
Insertion sort, 12000, 35984984, 0.009459
Insertion sort, 14000, 48982780, 0.012847
Insertion sort, 16000, 63994224, 0.018214
Insertion sort, 18000, 80783957, 0.021438
Insertion sort, 20000, 100956028, 0.026816
Insertion sort, 22000, 121751137, 0.032230
Insertion sort, 24000, 143094903, 0.037949
Insertion sort, 26000, 169253372, 0.045021
Insertion sort, 28000, 196548346, 0.050368
Insertion sort, 30000, 224115884, 0.057334
Insertion sort, 32000, 254986002, 0.066319
Insertion sort, 34000, 289119472, 0.074354
Insertion sort, 36000, 323186304, 0.083349
Insertion sort, 38000, 359431690, 0.092803
Insertion sort, 40000, 398029452, 0.102797
Insertion sort, 42000, 440136924, 0.114018
Insertion sort, 44000, 482793234, 0.124835
Insertion sort, 46000, 528284118, 0.136725
Insertion sort, 48000, 577451640, 0.148791
Insertion sort, 50000, 626903025, 0.162564
Selection sort, 2000, 1999000, 0.000675
Selection sort, 4000, 7998000, 0.002384
Selection sort, 6000, 17997000, 0.005272
Selection sort, 8000, 31996000, 0.009782
Selection sort, 10000, 49995000, 0.014648
Selection sort, 12000, 71994000, 0.021125
Selection sort, 14000, 97993000, 0.028397
Selection sort, 16000, 127992000, 0.036429
Selection sort, 18000, 161991000, 0.046300
Selection sort, 20000, 199990000, 0.057045
Selection sort, 22000, 241989000, 0.069251
Selection sort, 24000, 287988000, 0.081721
Selection sort, 26000, 337987000, 0.096809
Selection sort, 28000, 391986000, 0.111250
Selection sort, 30000, 449985000, 0.127831
Selection sort, 32000, 511984000, 0.144732
Selection sort, 34000, 577983000, 0.166832
Selection sort, 36000, 647982000, 0.183035
Selection sort, 38000, 721981000, 0.204365
Selection sort, 40000, 799980000, 0.225775
Selection sort, 42000, 881979000, 0.249838
Selection sort, 44000, 967978000, 0.273439
Selection sort, 46000, 1057977000, 0.300859
Selection sort, 48000, 1151976000, 0.327369
Selection sort, 50000, 1249975000, 0.354969
Merge sort, 2000, 19388, 0.000257
Merge sort, 4000, 42851, 0.000479
Merge sort, 6000, 67831, 0.000770
Merge sort, 8000, 93633, 0.000974
Merge sort, 10000, 120564, 0.001347
Merge sort, 12000, 147760, 0.001664
Merge sort, 14000, 175438, 0.001842
Merge sort, 16000, 203238, 0.002049
Merge sort, 18000, 231997, 0.002563
Merge sort, 20000, 260795, 0.002772
Merge sort, 22000, 290093, 0.003155
Merge sort, 24000, 319337, 0.003332
Merge sort, 26000, 348897, 0.003639
Merge sort, 28000, 378747, 0.004001
Merge sort, 30000, 408617, 0.004091
Merge sort, 32000, 438510, 0.004237
Merge sort, 34000, 469132, 0.004769
Merge sort, 36000, 499913, 0.005233
Merge sort, 38000, 530832, 0.005497
Merge sort, 40000, 561981, 0.005789
Merge sort, 42000, 592886, 0.006275
Merge sort, 44000, 624323, 0.006413
Merge sort, 46000, 655297, 0.006719
Merge sort, 48000, 686439, 0.007045
Merge sort, 50000, 718205, 0.007338
Quick sort, 2000, 26115, 0.000062
Quick sort, 4000, 54824, 0.000126
Quick sort, 6000, 85986, 0.000201
Quick sort, 8000, 116593, 0.000273
Quick sort, 10000, 154336, 0.000341
Quick sort, 12000, 193955, 0.000416
Quick sort, 14000, 230413, 0.000498
Quick sort, 16000, 272958, 0.000583
Quick sort, 18000, 295557, 0.000685
Quick sort, 20000, 322359, 0.000795
Quick sort, 22000, 382359, 0.000882
Quick sort, 24000, 434369, 0.000900
Quick sort, 26000, 475514, 0.001009
Quick sort, 28000, 503704, 0.001049
Quick sort, 30000, 541114, 0.001158
Quick sort, 32000, 557895, 0.001271
Quick sort, 34000, 602003, 0.001375
Quick sort, 36000, 674457, 0.001435
Quick sort, 38000, 677783, 0.001498
Quick sort, 40000, 723757, 0.001683
Quick sort, 42000, 757249, 0.001662
Quick sort, 44000, 803609, 0.001721
Quick sort, 46000, 869713, 0.001846
Quick sort, 48000, 900260, 0.001879
Quick sort, 50000, 944486, 0.002042
Shell sort, 2000, 18965, 0.000106
Shell sort, 4000, 45883, 0.000221
Shell sort, 6000, 74005, 0.000359
Shell sort, 8000, 121010, 0.000532
Shell sort, 10000, 164570, 0.000627
Shell sort, 12000, 189394, 0.000787
Shell sort, 14000, 212999, 0.000893
Shell sort, 16000, 308643, 0.001098
Shell sort, 18000, 327739, 0.001213
Shell sort, 20000, 363707, 0.001376
Shell sort, 22000, 366101, 0.001606
Shell sort, 24000, 448716, 0.001732
Shell sort, 26000, 480686, 0.001887
Shell sort, 28000, 538244, 0.002146
Shell sort, 30000, 552015, 0.002117
Shell sort, 32000, 769210, 0.002449
Shell sort, 34000, 637331, 0.002459
Shell sort, 36000, 728947, 0.002609
Shell sort, 38000, 752262, 0.002833
Shell sort, 40000, 889034, 0.003070
Shell sort, 42000, 1055264, 0.003238
Shell sort, 44000, 939664, 0.003574
Shell sort, 46000, 974666, 0.003527
Shell sort, 48000, 1159624, 0.003860
Shell sort, 50000, 1213861, 0.004007
Iquick sort, 2000, 25466, 0.000062
Iquick sort, 4000, 53455, 0.000129
Iquick sort, 6000, 84026, 0.000200
Iquick sort, 8000, 114073, 0.000272
Iquick sort, 10000, 150835, 0.000332
Iquick sort, 12000, 189792, 0.000416
Iquick sort, 14000, 225743, 0.000488
Iquick sort, 16000, 267086, 0.000561
Iquick sort, 18000, 289042, 0.000654
Iquick sort, 20000, 314509, 0.000752
Iquick sort, 22000, 373645, 0.000779
Iquick sort, 24000, 424637, 0.000879
Iquick sort, 26000, 465129, 0.000993
Iquick sort, 28000, 492466, 0.001044
Iquick sort, 30000, 528751, 0.001122
Iquick sort, 32000, 544492, 0.001225
Iquick sort, 34000, 587476, 0.001314
Iquick sort, 36000, 658476, 0.001398
Iquick sort, 38000, 660984, 0.001482
Iquick sort, 40000, 705064, 0.001600
Iquick sort, 42000, 737757, 0.001649
Iquick sort, 44000, 782787, 0.001752
Iquick sort, 46000, 847695, 0.001846
Iquick sort, 48000, 876997, 0.001890
Iquick sort, 50000, 919936, 0.002072
